word: a                   counts: 8283
word: achim               counts: 2
word: achish              counts: 21
word: achmetha            counts: 1
word: achor               counts: 5
word: achsah              counts: 5
word: achshaph            counts: 3
word: achzib              counts: 4
word: acknowledge         counts: 16
word: acknowledged        counts: 3
word: acknowledgement     counts: 1
word: acknowledgeth       counts: 1
word: acknowledging       counts: 3
word: acquaint            counts: 1
word: acquaintance        counts: 11
word: acquainted          counts: 2
word: acquainting         counts: 1
word: acquit              counts: 2
word: acre                counts: 1
word: acres               counts: 1
word: act                 counts: 4
word: actions             counts: 1
word: activity            counts: 1
word: acts                counts: 95
word: adadah              counts: 1
word: adah                counts: 8
word: adaiah              counts: 9
word: adalia              counts: 1
word: adam                counts: 31
word: adamah              counts: 1
word: adamant             counts: 2
word: adami               counts: 1
word: adar                counts: 10
word: adbeel              counts: 2
word: add                 counts: 31
word: addan               counts: 1
word: addar               counts: 1
word: added               counts: 15
word: adder               counts: 4
word: adders              counts: 1
word: addeth              counts: 4
word: addi                counts: 1
word: addicted            counts: 1
word: addition            counts: 1
word: additions           counts: 2
word: addon               counts: 1
word: ader                counts: 1
word: adiel               counts: 3
word: adin                counts: 4
word: adina               counts: 1
word: adino               counts: 1
word: adithaim            counts: 1
word: adjure              counts: 5
word: adjured             counts: 2
word: adlai               counts: 1
word: admah               counts: 5
word: admatha             counts: 1
word: administered        counts: 2
word: administration      counts: 1
word: administrations     counts: 1
word: admiration          counts: 2
word: admired             counts: 1
word: admonish            counts: 3
word: admonished          counts: 5
word: admonishing         counts: 1
word: admonition          counts: 3
word: adna                counts: 2
word: adnah               counts: 2
word: ado                 counts: 1
word: adonibezek          counts: 3
word: adonijah            counts: 26
word: adonikam            counts: 3
word: adoniram            counts: 2
word: adonizedek          counts: 2
word: adoption            counts: 5
word: adoraim             counts: 1
word: adoram              counts: 2
word: adorn               counts: 2
word: adorned             counts: 4
word: adorneth            counts: 1
word: adorning            counts: 2
word: adrammelech         counts: 3
word: adramyttium         counts: 1
word: adria               counts: 1
word: adriel              counts: 2
word: adullam             counts: 8
word: adullamite          counts: 3
word: adulterer           counts: 3
word: adulterers          counts: 9
word: adulteress          counts: 5
word: adulteresses        counts: 3
word: adulteries          counts: 5
word: adulterous          counts: 4
word: adultery            counts: 40
word: adummim             counts: 2
word: advanced            counts: 4
word: advantage           counts: 4
word: advantaged          counts: 1
word: advantageth         counts: 1
word: adventure           counts: 2
word: adventured          counts: 1
word: adversaries         counts: 36
word: adversary           counts: 22
word: adversities         counts: 2
word: adversity           counts: 10
word: advertise           counts: 2
word: advice              counts: 9
word: advise              counts: 3
word: advised             counts: 2
word: advisement          counts: 1
word: advocate            counts: 1
word: aeneas              counts: 2
word: aenon               counts: 1
word: afar                counts: 51
word: affairs             counts: 8
word: affect              counts: 2
word: affected            counts: 2
word: affecteth           counts: 1
word: affection           counts: 6
word: affectionately      counts: 1
word: affectioned         counts: 1
word: affections          counts: 2
word: affinity            counts: 3
word: affirm              counts: 3
word: affirmed            counts: 3
word: afflict             counts: 36
word: afflicted           counts: 55
word: afflictest          counts: 1
word: affliction          counts: 75
word: afflictions         counts: 13
word: affording           counts: 1
word: affright            counts: 1
word: affrighted          counts: 9
word: afoot               counts: 2
word: afore               counts: 7
word: aforehand           counts: 1
word: aforetime           counts: 7
word: afraid              counts: 193
word: afresh              counts: 1
word: after               counts: 1180
word: afternoon           counts: 1
word: afterward           counts: 66
word: afterwards          counts: 13
word: agabus              counts: 2
word: agag                counts: 8
word: agagite             counts: 5
word: again               counts: 672
word: against             counts: 1667
word: agar                counts: 2
word: agate               counts: 3
word: agates              counts: 1
word: age                 counts: 42
word: aged                counts: 9
word: agee                counts: 1
word: ages                counts: 4
word: ago                 counts: 13
word: agone               counts: 1
word: agony               counts: 1
word: agree               counts: 7
word: agreed              counts: 8
word: agreement           counts: 6
word: agreeth             counts: 2
word: agrippa             counts: 12
word: aground             counts: 1
word: ague                counts: 1
word: agur                counts: 1
word: ah                  counts: 18
word: aha                 counts: 10
word: ahab                counts: 94
word: aharah              counts: 1
word: aharhel             counts: 1
word: ahasai              counts: 1
word: ahasbai             counts: 1
word: ahasuerus           counts: 31
word: ahava               counts: 3
word: ahaz                counts: 42
word: ahaziah             counts: 37
word: ahban               counts: 1
word: aher                counts: 1
word: ahi                 counts: 2
word: ahiah               counts: 4
word: ahiam               counts: 2
word: ahian               counts: 1
word: ahiezer             counts: 6
word: ahihud              counts: 2
word: ahijah              counts: 20
word: ahikam              counts: 20
word: ahilud              counts: 5
word: ahimaaz             counts: 15
word: ahiman              counts: 4
word: ahimelech           counts: 17
word: ahimoth             counts: 1
word: ahinadab            counts: 1
word: ahinoam             counts: 7
word: ahio                counts: 6
word: ahira               counts: 5
word: ahiram              counts: 1
word: ahiramites          counts: 1
word: ahisamach           counts: 3
word: ahishahar           counts: 1
word: ahishar             counts: 1
word: ahithophel          counts: 20
word: ahitub              counts: 15
word: ahlab               counts: 1
word: ahlai               counts: 2
word: ahoah               counts: 1
word: ahohite             counts: 5
word: aholah              counts: 5
word: aholiab             counts: 5
word: aholibah            counts: 6
word: aholibamah          counts: 8
word: ahumai              counts: 1
word: ahuzam              counts: 1
word: ahuzzath            counts: 1
word: ai                  counts: 36
word: aiah                counts: 5
word: aiath               counts: 1
word: aided               counts: 1
word: aija                counts: 1
word: aijalon             counts: 7
word: aijeleth            counts: 1
word: ailed               counts: 1
word: aileth              counts: 7
word: ain                 counts: 6
word: air                 counts: 39
word: ajah                counts: 1
word: ajalon              counts: 3
word: akan                counts: 1
word: akkub               counts: 8
word: akrabbim            counts: 2
word: alabaster           counts: 3
word: alameth             counts: 1
word: alammelech          counts: 1
word: alamoth             counts: 2
word: alarm               counts: 10
word: alas                counts: 20
word: albeit              counts: 2
word: alemeth             counts: 3
word: aleph               counts: 1
word: alexander           counts: 6
word: alexandria          counts: 3
word: alexandrians        counts: 1
word: algum               counts: 3
word: aliah               counts: 1
word: alian               counts: 1
word: alien               counts: 5
word: alienate            counts: 1
word: alienated           counts: 7
word: aliens              counts: 3
word: alike               counts: 11
word: alive               counts: 88
word: all                 counts: 5620
word: alleging            counts: 1
word: allegory            counts: 1
word: alleluia            counts: 4
word: allied              counts: 1
word: allon               counts: 2
word: allonbachuth        counts: 1
word: allow               counts: 3
word: allowance           counts: 2
word: allowed             counts: 1
word: alloweth            counts: 1
word: allure              counts: 2
word: almighty            counts: 57
word: almodad             counts: 2
word: almon               counts: 1
word: almond              counts: 2
word: almondiblathaim     counts: 2
word: almonds             counts: 8
word: almost              counts: 11
word: alms                counts: 13
word: almsdeeds           counts: 1
word: almug               counts: 3
word: aloes               counts: 5
word: alone               counts: 108
word: along               counts: 30
word: aloof               counts: 1
word: aloth               counts: 1
word: aloud               counts: 20
word: alpha               counts: 3
word: alphaeus            counts: 5
word: already             counts: 31
word: also                counts: 1769
word: altar               counts: 378
word: altars              counts: 55
word: altaschith          counts: 4
word: alter               counts: 4
word: altered             counts: 2
word: altereth            counts: 2
word: although            counts: 16
word: altogether          counts: 29
word: alush               counts: 2
word: alvah               counts: 1
word: alvan               counts: 1
word: alway               counts: 23
word: always              counts: 62
word: am                  counts: 871
word: amad                counts: 1
word: amal                counts: 1
word: amalek              counts: 24
word: amalekite           counts: 3
word: amalekites          counts: 24
word: amam                counts: 1
word: amana               counts: 1
word: amariah             counts: 16
word: amasa               counts: 16
word: amasai              counts: 5
word: amashai             counts: 1
word: amasiah             counts: 1
word: amazed              counts: 21
word: amazement           counts: 2
word: amaziah             counts: 40
word: ambassador          counts: 4
word: ambassadors         counts: 8
word: ambassage           counts: 1
word: amber               counts: 3
word: ambush              counts: 7
word: ambushes            counts: 1
word: ambushment          counts: 2
word: ambushments         counts: 1
word: amen                counts: 76
word: amend               counts: 6
word: amends              counts: 1
word: amerce              counts: 1
word: amethyst            counts: 3
word: ami                 counts: 1
word: amiable             counts: 1
word: aminadab            counts: 3
word: amiss               counts: 4
word: amittai             counts: 2
word: ammah               counts: 1
word: ammi                counts: 1
word: ammiel              counts: 6
word: ammihud             counts: 10
word: amminadab           counts: 13
word: amminadib           counts: 1
word: ammishaddai         counts: 5
word: ammizabad           counts: 1
word: ammon               counts: 91
word: ammonite            counts: 9
word: ammonites           counts: 23
word: ammonitess          counts: 4
word: amnon               counts: 28
word: amok                counts: 2
word: amon                counts: 19
word: among               counts: 916
word: amongst             counts: 2
word: amorite             counts: 14
word: amorites            counts: 73
word: amos                counts: 18
word: amounting           counts: 1
word: amoz                counts: 13
word: amphipolis          counts: 1
word: amplias             counts: 1
word: amram               counts: 15
word: amramites           counts: 2
word: amraphel            counts: 2
word: amzi                counts: 2
word: an                  counts: 1699
word: anab                counts: 2
word: anah                counts: 12
word: anaharath           counts: 1
word: anaiah              counts: 2
word: anak                counts: 9
word: anakims             counts: 9
word: anamim              counts: 2
word: anammelech          counts: 1
word: anan                counts: 1
word: anani               counts: 1
word: ananiah             counts: 2
word: ananias             counts: 11
word: anath               counts: 2
word: anathema            counts: 1
word: anathoth            counts: 16
word: ancestors           counts: 1
word: anchor              counts: 1
word: anchors             counts: 3
word: ancient             counts: 26
word: ancients            counts: 10
word: and                 counts: 51681
word: andrew              counts: 13
word: andronicus          counts: 1
word: anem                counts: 1
word: aner                counts: 3
word: anethothite         counts: 1
word: anetothite          counts: 1
word: angel               counts: 201
word: angels              counts: 94
word: anger               counts: 234
word: angered             counts: 1
word: angle               counts: 2
word: angry               counts: 44
word: anguish             counts: 17
word: aniam               counts: 1
word: anim                counts: 1
word: anise               counts: 1
word: ankle               counts: 1
word: ankles              counts: 1
word: anna                counts: 1
word: annas               counts: 4
word: anoint              counts: 35
word: anointed            counts: 98
word: anointedst          counts: 1
word: anointest           counts: 1
word: anointing           counts: 28
word: anon                counts: 2
word: another             counts: 453
word: answer              counts: 131
word: answerable          counts: 1
word: answered            counts: 492
word: answeredst          counts: 2
word: answerest           counts: 6
word: answereth           counts: 13
word: answering           counts: 31
word: answers             counts: 3
word: ant                 counts: 1
word: antichrist          counts: 4
word: antichrists         counts: 1
word: antioch             counts: 19
word: antipas             counts: 1
word: antipatris          counts: 1
word: antiquity           counts: 1
word: antothijah          counts: 1
word: antothite           counts: 2
word: ants                counts: 1
word: anub                counts: 1
word: anvil               counts: 1
word: any                 counts: 915
word: apace               counts: 3
word: apart               counts: 24
word: apelles             counts: 1
word: apes                counts: 2
word: apharsachites       counts: 2
word: apharsathchites     counts: 1
word: apharsites          counts: 1
word: aphek               counts: 8
word: aphekah             counts: 1
word: aphiah              counts: 1
word: aphik               counts: 1
word: aphrah              counts: 1
word: aphses              counts: 1
word: apiece              counts: 8
word: apollonia           counts: 1
word: apollos             counts: 10
word: apollyon            counts: 1
word: apostle             counts: 19
word: apostles            counts: 61
word: apostleship         counts: 4
word: apothecaries        counts: 2
word: apothecary          counts: 4
word: appaim              counts: 2
word: apparel             counts: 28
word: apparelled          counts: 2
word: apparently          counts: 1
word: appeal              counts: 2
word: appealed            counts: 4
word: appear              counts: 54
word: appearance          counts: 38
word: appearances         counts: 2
word: appeared            counts: 70
word: appeareth           counts: 10
word: appearing           counts: 6
word: appease             counts: 1
word: appeased            counts: 2
word: appeaseth           counts: 1
word: appertain           counts: 2
word: appertained         counts: 3
word: appertaineth        counts: 2
word: appetite            counts: 4
word: apphia              counts: 1
word: appii               counts: 1
word: apple               counts: 8
word: apples              counts: 3
word: applied             counts: 3
word: apply               counts: 4
word: appoint             counts: 41
word: appointed           counts: 126
word: appointeth          counts: 1
word: appointment         counts: 4
word: apprehend           counts: 2
word: apprehended         counts: 3
word: approach            counts: 19
word: approached          counts: 2
word: approacheth         counts: 1
word: approaching         counts: 2
word: approve             counts: 3
word: approved            counts: 8
word: approvest           counts: 1
word: approveth           counts: 1
word: approving           counts: 1
word: aprons              counts: 2
word: apt                 counts: 4
word: aquila              counts: 6
word: ar                  counts: 6
word: ara                 counts: 1
word: arab                counts: 1
word: arabah              counts: 2
word: arabia              counts: 8
word: arabian             counts: 4
word: arabians            counts: 6
word: arad                counts: 5
word: arah                counts: 4
word: aram                counts: 10
word: aramitess           counts: 1
word: aramnaharaim        counts: 1
word: aramzobah           counts: 1
word: aran                counts: 2
word: ararat              counts: 2
word: araunah             counts: 9
word: arba                counts: 3
word: arbah               counts: 1
word: arbathite           counts: 2
word: arbite              counts: 1
word: archangel           counts: 2
word: archelaus           counts: 1
word: archer              counts: 2
word: archers             counts: 12
word: arches              counts: 15
word: archevites          counts: 1
word: archi               counts: 1
word: archippus           counts: 2
word: archite             counts: 5
word: arcturus            counts: 2
word: ard                 counts: 3
word: ardites             counts: 1
word: ardon               counts: 1
word: are                 counts: 2945
word: areli               counts: 2
word: arelites            counts: 1
word: areopagite          counts: 1
word: areopagus           counts: 1
word: aretas              counts: 1
word: argob               counts: 5
word: arguing             counts: 1
word: arguments           counts: 1
word: aridai              counts: 1
word: aridatha            counts: 1
word: arieh               counts: 1
word: ariel               counts: 6
word: aright              counts: 5
word: arimathaea          counts: 4
word: arioch              counts: 7
word: arisai              counts: 1
word: arise               counts: 149
word: ariseth             counts: 11
word: arising             counts: 1
word: aristarchus         counts: 5
word: aristobulus         counts: 1
word: ark                 counts: 230
word: arkite              counts: 2
word: arm                 counts: 67
word: armageddon          counts: 1
word: armed               counts: 30
word: armenia             counts: 2
word: armholes            counts: 2
word: armies              counts: 43
word: armoni              counts: 1
word: armour              counts: 24
word: armourbearer        counts: 18
word: armoury             counts: 3
word: arms                counts: 29
word: army                counts: 82
word: arnan               counts: 1
word: arnon               counts: 25
word: arod                counts: 1
word: arodi               counts: 1
word: arodites            counts: 1
word: aroer               counts: 16
word: aroerite            counts: 1
word: arose               counts: 173
word: arpad               counts: 4
word: arphad              counts: 2
word: arphaxad            counts: 10
word: array               counts: 34
word: arrayed             counts: 11
word: arrived             counts: 2
word: arrogancy           counts: 4
word: arrow               counts: 16
word: arrows              counts: 41
word: art                 counts: 495
word: artaxerxes          counts: 15
word: artemas             counts: 1
word: artificer           counts: 2
word: artificers          counts: 2
word: artillery           counts: 1
word: arts                counts: 1
word: aruboth             counts: 1
word: arumah              counts: 1
word: arvad               counts: 2
word: arvadite            counts: 2
word: arza                counts: 1
word: as                  counts: 3519
word: asa                 counts: 60
word: asahel              counts: 18
word: asahiah             counts: 2
word: asaiah              counts: 6
word: asaph               counts: 46
word: asareel             counts: 1
word: asarelah            counts: 1
word: ascend              counts: 13
word: ascended            counts: 19
word: ascendeth           counts: 2
word: ascending           counts: 5
word: ascent              counts: 4
word: ascribe             counts: 3
word: ascribed            counts: 2
word: asenath             counts: 3
word: aser                counts: 2
word: ash                 counts: 1
word: ashamed             counts: 122
word: ashan               counts: 4
word: ashbea              counts: 1
word: ashbel              counts: 3
word: ashbelites          counts: 1
word: ashchenaz           counts: 2
word: ashdod              counts: 21
word: ashdodites          counts: 1
word: ashdothites         counts: 1
word: ashdothpisgah       counts: 3
word: asher               counts: 43
word: asherites           counts: 1
word: ashes               counts: 43
word: ashima              counts: 1
word: ashkelon            counts: 9
word: ashkenaz            counts: 1
word: ashnah              counts: 2
word: ashpenaz            counts: 1
word: ashriel             counts: 1
word: ashtaroth           counts: 11
word: ashterathite        counts: 1
word: ashteroth           counts: 1
word: ashtoreth           counts: 3
word: ashur               counts: 2
word: ashurites           counts: 2
word: ashvath             counts: 1
word: asia                counts: 21
word: aside               counts: 72
word: asiel               counts: 1
word: ask                 counts: 109
word: asked               counts: 119
word: askelon             counts: 3
word: askest              counts: 3
word: asketh              counts: 11
word: asking              counts: 7
word: asleep              counts: 16
word: asnah               counts: 1
word: asnappar            counts: 1
word: asp                 counts: 1
word: aspatha             counts: 1
word: asps                counts: 4
word: asriel              counts: 2
word: asrielites          counts: 1
word: ass                 counts: 90
word: assault             counts: 2
word: assaulted           counts: 1
word: assay               counts: 1
word: assayed             counts: 4
word: assaying            counts: 1
word: assemble            counts: 20
word: assembled           counts: 37
word: assemblies          counts: 6
word: assembling          counts: 2
word: assembly            counts: 49
word: assent              counts: 1
word: assented            counts: 1
word: asses               counts: 64
word: asshur              counts: 8
word: asshurim            counts: 1
word: assigned            counts: 3
word: assir               counts: 5
word: assist              counts: 1
word: associate           counts: 1
word: assos               counts: 2
word: assur               counts: 2
word: assurance           counts: 7
word: assure              counts: 1
word: assured             counts: 3
word: assuredly           counts: 9
word: asswage             counts: 1
word: asswaged            counts: 2
word: assyria             counts: 118
word: assyrian            counts: 13
word: assyrians           counts: 10
word: astaroth            counts: 1
word: astonied            counts: 10
word: astonished          counts: 34
word: astonishment        counts: 21
word: astray              counts: 22
word: astrologer          counts: 1
word: astrologers         counts: 8
word: asunder             counts: 21
word: asuppim             counts: 2
word: asyncritus          counts: 1
word: at                  counts: 1571
word: atad                counts: 2
word: atarah              counts: 1
word: ataroth             counts: 5
word: atarothadar         counts: 1
word: atarothaddar        counts: 1
word: ate                 counts: 3
word: ater                counts: 5
word: athach              counts: 1
word: athaiah             counts: 1
word: athaliah            counts: 17
word: athenians           counts: 1
word: athens              counts: 7
word: athirst             counts: 4
word: athlai              counts: 1
word: atonement           counts: 81
word: atonements          counts: 1
word: atroth              counts: 1
word: attai               counts: 4
word: attain              counts: 6
word: attained            counts: 10
word: attalia             counts: 1
word: attend              counts: 11
word: attendance          counts: 4
word: attended            counts: 3
word: attending           counts: 1
word: attent              counts: 2
word: attentive           counts: 5
word: attentively         counts: 1
word: attire              counts: 3
word: attired             counts: 1
word: audience            counts: 12
word: augment             counts: 1
word: augustus            counts: 4
word: aul                 counts: 2
word: aunt                counts: 1
word: austere             counts: 2
word: author              counts: 3
word: authorities         counts: 1
word: authority           counts: 37
word: ava                 counts: 1
word: availeth            counts: 4
word: aven                counts: 3
word: avenge              counts: 17
word: avenged             counts: 16
word: avenger             counts: 9
word: avengeth            counts: 2
word: avenging            counts: 3
word: averse              counts: 1
word: avim                counts: 1
word: avims               counts: 1
word: avites              counts: 2
word: avith               counts: 2
word: avoid               counts: 5
word: avoided             counts: 1
word: avoiding            counts: 2
word: avouched            counts: 2
word: await               counts: 1
word: awake               counts: 42
word: awaked              counts: 8
word: awakest             counts: 2
word: awaketh             counts: 3
word: awaking             counts: 1
word: aware               counts: 5
word: away                counts: 914
word: awe                 counts: 3
word: awoke               counts: 8
word: axe                 counts: 11
word: axes                counts: 7
word: axletrees           counts: 2
word: azal                counts: 1
word: azaliah             counts: 2
word: azaniah             counts: 1
word: azarael             counts: 1
word: azareel             counts: 5
word: azariah             counts: 49
word: azaz                counts: 1
word: azaziah             counts: 3
word: azbuk               counts: 1
word: azekah              counts: 7
word: azel                counts: 6
word: azem                counts: 2
word: azgad               counts: 4
word: aziel               counts: 1
word: aziza               counts: 1
word: azmaveth            counts: 8
word: azmon               counts: 3
word: aznothtabor         counts: 1
word: azor                counts: 2
word: azotus              counts: 1
word: azriel              counts: 3
word: azrikam             counts: 6
word: azubah              counts: 4
word: azur                counts: 2
word: azzah               counts: 3
word: azzan               counts: 1
word: azzur               counts: 1
word: baal                counts: 64
word: baalah              counts: 5
word: baalath             counts: 3
word: baalathbeer         counts: 1
word: baalberith          counts: 2
word: baale               counts: 1
word: baalgad             counts: 3
word: baalhamon           counts: 1
word: baalhanan           counts: 5
word: baalhazor           counts: 1
word: baalhermon          counts: 2
word: baali               counts: 1
word: baalim              counts: 18
word: baalis              counts: 1
word: baalmeon            counts: 3
word: baalpeor            counts: 6
word: baalperazim         counts: 4
word: baalshalisha        counts: 1
word: baaltamar           counts: 1
word: baalzebub           counts: 4
word: baalzephon          counts: 3
word: baana               counts: 2
word: baanah              counts: 10
word: baara               counts: 1
word: baaseiah            counts: 1
word: baasha              counts: 28
word: babbler             counts: 2
word: babbling            counts: 1
word: babblings           counts: 2
word: babe                counts: 6
word: babel               counts: 2
word: babes               counts: 9
word: babylon             counts: 294
word: babylonians         counts: 4
word: babylonish          counts: 1
word: baca                counts: 1
word: bachrites           counts: 1
word: back                counts: 154
word: backbiters          counts: 1
word: backbiteth          counts: 1
word: backbiting          counts: 1
word: backbitings         counts: 1
word: backbone            counts: 1
word: backs               counts: 8
word: backside            counts: 3
word: backslider          counts: 1
word: backsliding         counts: 12
word: backslidings        counts: 4
word: backward            counts: 18
word: bad                 counts: 18
word: bade                counts: 18
word: badest              counts: 1
word: badgers             counts: 14
word: badness             counts: 1
word: bag                 counts: 11
word: bags                counts: 3
word: baharumite          counts: 1
word: bahurim             counts: 5
word: bajith              counts: 1
word: bakbakkar           counts: 1
word: bakbuk              counts: 2
word: bakbukiah           counts: 3
word: bake                counts: 9
word: baked               counts: 4
word: bakemeats           counts: 1
word: baken               counts: 9
word: baker               counts: 8
word: bakers              counts: 3
word: baketh              counts: 1
word: balaam              counts: 63
word: balac               counts: 1
word: baladan             counts: 2
word: balah               counts: 1
word: balak               counts: 43
word: balance             counts: 8
word: balances            counts: 10
word: balancings          counts: 1
word: bald                counts: 16
word: baldness            counts: 9
word: ball                counts: 1
word: balm                counts: 6
word: bamah               counts: 1
word: bamoth              counts: 2
word: bamothbaal          counts: 1
word: band                counts: 19
word: banded              counts: 1
word: bands               counts: 46
word: bani                counts: 15
word: banished            counts: 2
word: banishment          counts: 2
word: bank                counts: 14
word: banks               counts: 5
word: banner              counts: 3
word: banners             counts: 3
word: banquet             counts: 14
word: banqueting          counts: 1
word: banquetings         counts: 1
word: baptism             counts: 22
word: baptisms            counts: 1
word: baptist             counts: 15
word: baptize             counts: 9
word: baptized            counts: 61
word: baptizest           counts: 1
word: baptizeth           counts: 2
word: baptizing           counts: 4
word: bar                 counts: 7
word: barabbas            counts: 11
word: barachel            counts: 2
word: barachias           counts: 1
word: barak               counts: 14
word: barbarian           counts: 3
word: barbarians          counts: 2
word: barbarous           counts: 1
word: barbed              counts: 1
word: barber              counts: 1
word: bare                counts: 186
word: barefoot            counts: 4
word: barest              counts: 3
word: barhumite           counts: 1
word: bariah              counts: 1
word: barjesus            counts: 1
word: barjona             counts: 1
word: bark                counts: 1
word: barked              counts: 1
word: barkos              counts: 2
word: barley              counts: 37
word: barn                counts: 4
word: barnabas            counts: 29
word: barnfloor           counts: 1
word: barns               counts: 4
word: barrel              counts: 3
word: barrels             counts: 1
word: barren              counts: 23
word: barrenness          counts: 1
word: bars                counts: 38
word: barsabas            counts: 2
word: bartholomew         counts: 4
word: bartimaeus          counts: 1
word: baruch              counts: 26
word: barzillai           counts: 12
word: base                counts: 18
word: baser               counts: 1
word: bases               counts: 16
word: basest              counts: 2
word: bashan              counts: 59
word: bashanhavothjair    counts: 1
word: bashemath           counts: 6
word: basket              counts: 23
word: baskets             counts: 15
word: basmath             counts: 1
word: bason               counts: 5
word: basons              counts: 18
word: bastard             counts: 2
word: bastards            counts: 1
word: bat                 counts: 2
word: bath                counts: 6
word: bathe               counts: 18
word: bathed              counts: 1
word: bathrabbim          counts: 1
word: baths               counts: 9
word: bathsheba           counts: 11
word: bathshua            counts: 1
word: bats                counts: 1
word: battered            counts: 1
word: battering           counts: 2
word: battle              counts: 170
word: battlement          counts: 1
word: battlements         counts: 1
word: battles             counts: 6
word: bavai               counts: 1
word: bay                 counts: 6
word: bazlith             counts: 1
word: bazluth             counts: 1
word: bdellium            counts: 2
word: be                  counts: 7006
word: beacon              counts: 1
word: bealiah             counts: 1
word: bealoth             counts: 1
word: beam                counts: 15
word: beams               counts: 12
word: beans               counts: 2
word: bear                counts: 215
word: beard               counts: 16
word: beards              counts: 4
word: bearers             counts: 3
word: bearest             counts: 5
word: beareth             counts: 25
word: bearing             counts: 22
word: bears               counts: 2
word: beast               counts: 181
word: beasts              counts: 156
word: beat                counts: 36
word: beaten              counts: 40
word: beatest             counts: 2
word: beateth             counts: 1
word: beating             counts: 3
word: beauties            counts: 1
word: beautiful           counts: 23
word: beautify            counts: 3
word: beauty              counts: 49
word: bebai               counts: 6
word: became              counts: 106
word: becamest            counts: 2
word: because             counts: 1209
word: becher              counts: 5
word: bechorath           counts: 1
word: beckoned            counts: 6
word: beckoning           counts: 2
word: become              counts: 135
word: becometh            counts: 15
word: bed                 counts: 91
word: bedad               counts: 2
word: bedan               counts: 2
word: bedchamber          counts: 6
word: bedeiah             counts: 1
word: beds                counts: 10
word: bedstead            counts: 2
word: bee                 counts: 1
word: beeliada            counts: 1
word: beelzebub           counts: 7
word: been                counts: 331
word: beer                counts: 2
word: beera               counts: 1
